"","Abbreviation","Title","FoR1","FoR.method","FoRCode","Category"
"2071","Nutr Rev","Nutrition Reviews","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2072","Nutrients","","Nutrition And Dietetics","Chosen.by.Luke","Medical and health sciences","Nutrition And Dietetics"
"2073","Obes Rev","Obesity Reviews","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2074","Obes Surg","Obesity Surgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2075","Obesity (Silver Spring)","Obesity","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"2076","Obstet Gynecol Int","Obstetrics and Gynecology","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2077","Obstet Gynecol Sci","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2078","Occup Environ Med","Occupational and Environmental Medicine","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2079","Oecologia","Oecologia","Ecology","Chosen.by.ERA","Biological sciences","Ecology, evolution and earth sciences"
"2080","Oman J Ophthalmol","Oman Journal of Ophthalmology","Ophthalmology And Optometry","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2081","Onco Targets Ther","OncoTargets and Therapy","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2082","Oncogene","Oncogene","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2083","Oncogenesis","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"2084","Oncoimmunology","","Immunology","Chosen.by.Luke","Medical and health sciences","Immunology"
"2085","Oncol Lett","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"2086","Oncol Rep","Oncology Reports: an international journal devoted to fundamental and applied research in oncology","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2087","Oncologist","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"2088","Online J Public Health Inform","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2089","Open Access J Sports Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2090","Open Access J Urol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2091","Open AIDS J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2092","Open Biochem J","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"2093","Open Biol","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"2094","Open Biomed Eng J","","Biomedical Engineering ","Chosen.by.Luke","Engineering","Biomedical Engineering"
"2095","Open Cardiovasc Med J","Open Cardiovascular Medicine Journal","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2096","Open Clin Cancer J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2097","Open Dent J","","Dentistry","Chosen.by.Luke","Medical and health sciences","Dentistry"
"2098","Open J Genet","","Genetics","Chosen.by.Luke","Biological sciences","Genetics"
"2099","Open J Obstet Gynecol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2100","Open Med Inform J","Open Medical Informatics Journal","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"2101","Open Microbiol J","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"2102","Open Neuroimag J","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"2103","Open Neurol J","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"2104","Open Nurs J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2105","Open Ophthalmol J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2106","Open Orthop J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2107","Open Pediatr Med Journal","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2108","Open Respir Med J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2109","Open Rheumatol J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2110","Open Virol J","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"2111","Ophthal Plast Reconstr Surg","Ophthalmic Plastic and Reconstructive Surgery","Ophthalmology And Optometry","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2112","Ophthalmic Genet","Ophthalmic Genetics","Ophthalmology And Optometry","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2113","Ophthalmol Eye Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2114","Ophthalmology","Ophthalmology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2115","Opt Express","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2116","Oral Maxillofac Surg","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2117","Orphanet J Rare Dis","Orphanet Journal of Rare Diseases","Other Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2118","Orthop Rev (Pavia)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2119","Osong Public Health Res Perspect","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2120","Osteoarthritis Cartilage","Osteoarthritis and Cartilage","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2121","Osteopath Med Prim Care","Osteopathic Medicine and Primary Care","Other Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2122","Osteoporos Int","Osteoporosis International","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2123","Oxid Med Cell Longev","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"2124","Paediatr Perinat Epidemiol","Paediatric and Perinatal Epidemiology","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2125","Pain","Pain","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2126","Pain Med","Pain Medicine","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"2127","Pain Res Treat","Pain Research and Management","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2128","Pak J Med Sci","Pakistan Journal of Medical Sciences","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2129","Palliat Med","Palliative Medicine","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"2130","Pan Afr Med J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2131","Parasit Vectors","Parasites and Vectors","Medical Microbiology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2132","Parasite","Parasite","Medical Microbiology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2133","Parasite Immunol","Parasite Immunology","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"2134","Parasitol Res","Parasitology Research","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"2135","Parkinsonism Relat Disord","Parkinsonism and Related Disorders","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2136","Parkinsons Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2137","Part Fibre Toxicol","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"2138","Pathobiol Aging Age Relat Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2139","Pathogenetics","","Genetics ","Chosen.by.Luke","Biological sciences","Genetics"
"2140","Pathol Int","Pathology International","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2141","Pathol Oncol Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2142","Patholog Res Int","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2143","Patient","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2144","Patient Prefer Adherence","Patient Preference and Adherence","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2145","Patient Relat Outcome Meas","Patient Related Outcome Measures","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"2146","Patient Saf Surg","Patient Safety in Surgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2147","Pediatr Allergy Immunol","Pediatric Allergy and Immunology","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"2148","Pediatr Blood Cancer","Pediatric Blood and Cancer","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2149","Pediatr Cardiol","Pediatric Cardiology","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2150","Pediatr Dermatol","Pediatric Dermatology","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2151","Pediatr Diabetes","Pediatric Diabetes","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2152","Pediatr Gastroenterol Hepatol Nutr","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2153","Pediatr Infect Dis J","Pediatric Infectious Disease Journal","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2154","Pediatr Nephrol","Pediatric Nephrology","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2155","Pediatr Neurol","Pediatric Neurology","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2156","Pediatr Obes","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2157","Pediatr Radiol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2158","Pediatr Rep","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2159","Pediatr Res","Pediatric Research","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2160","Pediatr Rheumatol Online J","Pediatric Rheumatology Online Journal","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2161","Pediatr Surg Int","Pediatric Surgery International","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2162","Peerj","","Multidisciplinary","Chosen.by.Luke","Multidisciplinary","Multidisciplinary"
"2163","PeerJ","","Multidisciplinary","Chosen.by.Luke","Multidisciplinary","Multidisciplinary"
"2164","Perioper Med (Lond)","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2165","Pers Individ Dif","Personality and Individual Differences","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"2166","Persoonia","Persoonia","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"2167","Perspect Clin Res","Perspectives in Clinical Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
